game_id,attr,val
189094764,ranked_status,1
190589032,player0,endgamedos
190589032,game_outcome,1
190589032,ranked_status,1
192082206,player0,loui8sdstk
192082206,player1,diggs
192082206,player2,endgamedos
192082206,game_outcome,0
192082206,ranked_status,1
196927397,player0,loui8sdstk
196927397,player1,endgamedos
196927397,game_outcome,1
196927397,ranked_status,1
198129694,player0,loui8sdstk
198129694,player1,endgamedos
198129694,game_outcome,1
198129694,ranked_status,1
179729127,player0,loui8sdstk
179729127,player1,skandaras
179729127,game_outcome,1
179729127,ranked_status,0
179838682,player0,loui8sdstk
179838682,player1,skandaras
179838682,game_outcome,0
179838682,ranked_status,0
179857787,player0,loui8sdstk
179857787,player1,skandaras
179857787,game_outcome,0
179857787,ranked_status,0
179949405,player0,loui8sdstk
179949405,game_outcome,1
179949405,ranked_status,0
180085078,player0,loui8sdstk
180085078,game_outcome,0
180085078,ranked_status,0
180311659,player0,loui8sdstk
180311659,game_outcome,0
180311659,ranked_status,0
180329674,player0,loui8sdstk
180329674,game_outcome,0
180329674,ranked_status,0
180437951,player0,loui8sdstk
180437951,game_outcome,1
180437951,ranked_status,0
180439027,player0,loui8sdstk
180439027,player1,dicedstk
180439027,game_outcome,1
180439027,ranked_status,0
180447510,player0,loui8sdstk
180447510,game_outcome,0
180447510,ranked_status,0
180535304,player0,loui8sdstk
180535304,game_outcome,0
180535304,ranked_status,0
180535606,player0,loui8sdstk
180535606,game_outcome,1
180535606,ranked_status,0
180536729,player0,loui8sdstk
